filepath,label
beckers white\028.jpg,beckers white
yellow swallow tail\020.jpg,yellow swallow tail
straited queen\011.jpg,straited queen
crecent\043.jpg,crecent
morning cloak\049.jpg,morning cloak
grey hairstreak\067.jpg,grey hairstreak
painted lady\088.jpg,painted lady
red admiral\074.jpg,red admiral
southern dogface\059.jpg,southern dogface
malachite\060.jpg,malachite
pipevine swallow\024.jpg,pipevine swallow
two barred flasher\011.jpg,two barred flasher
american snoot\000.jpg,american snoot
indra swallow\089.jpg,indra swallow
silver spot skipper\022.jpg,silver spot skipper
large marble\027.jpg,large marble
paper kite\024.jpg,paper kite
julia\019.jpg,julia
orange tip\030.jpg,orange tip
julia\025.jpg,julia
monarch\036.jpg,monarch
monarch\067.jpg,monarch
orange oakleaf\010.jpg,orange oakleaf
orange oakleaf\050.jpg,orange oakleaf
red admiral\064.jpg,red admiral
black hairstreak\025.jpg,black hairstreak
beckers white\007.jpg,beckers white
eastern coma\068.jpg,eastern coma
red admiral\001.jpg,red admiral
question mark\005.jpg,question mark
orange oakleaf\079.jpg,orange oakleaf
malachite\018.jpg,malachite
banded peacock\081.jpg,banded peacock
julia\014.jpg,julia
julia\034.jpg,julia
copper tail\115.jpg,copper tail
great eggfly\061.jpg,great eggfly
orchard swallow\064.jpg,orchard swallow
great eggfly\071.jpg,great eggfly
american snoot\088.jpg,american snoot
monarch\051.jpg,monarch
black hairstreak\011.jpg,black hairstreak
malachite\042.jpg,malachite
pine white\065.jpg,pine white
purple hairstreak\026.jpg,purple hairstreak
metalmark\081.jpg,metalmark
clouded sulphur\003.jpg,clouded sulphur
metalmark\037.jpg,metalmark
julia\026.jpg,julia
grey hairstreak\041.jpg,grey hairstreak
purple hairstreak\097.jpg,purple hairstreak
painted lady\021.jpg,painted lady
great eggfly\027.jpg,great eggfly
pine white\051.jpg,pine white
metalmark\059.jpg,metalmark
two barred flasher\023.jpg,two barred flasher
pine white\053.jpg,pine white
monarch\027.jpg,monarch
straited queen\034.jpg,straited queen
indra swallow\046.jpg,indra swallow
paper kite\062.jpg,paper kite
ulyses\020.jpg,ulyses
sixspot burnet\051.jpg,sixspot burnet
skipper\030.jpg,skipper
straited queen\080.jpg,straited queen
straited queen\059.jpg,straited queen
grey hairstreak\078.jpg,grey hairstreak
sixspot burnet\014.jpg,sixspot burnet
sootywing\067.jpg,sootywing
metalmark\013.jpg,metalmark
beckers white\022.jpg,beckers white
adonis\056.jpg,adonis
cabbage white\065.jpg,cabbage white
purple hairstreak\063.jpg,purple hairstreak
cabbage white\072.jpg,cabbage white
crimson patch\021.jpg,crimson patch
sootywing\005.jpg,sootywing
purple hairstreak\005.jpg,purple hairstreak
peacock\059.jpg,peacock
eastern coma\066.jpg,eastern coma
adonis\073.jpg,adonis
viceroy\047.jpg,viceroy
morning cloak\062.jpg,morning cloak
indra swallow\028.jpg,indra swallow
eastern coma\006.jpg,eastern coma
adonis\085.jpg,adonis
scarce swallow\121.jpg,scarce swallow
large marble\066.jpg,large marble
black hairstreak\065.jpg,black hairstreak
malachite\029.jpg,malachite
painted lady\038.jpg,painted lady
orange oakleaf\044.jpg,orange oakleaf
clouded sulphur\073.jpg,clouded sulphur
southern dogface\007.jpg,southern dogface
silver spot skipper\009.jpg,silver spot skipper
skipper\052.jpg,skipper
straited queen\048.jpg,straited queen
black hairstreak\063.jpg,black hairstreak
orange oakleaf\057.jpg,orange oakleaf
metalmark\025.jpg,metalmark
american snoot\031.jpg,american snoot
yellow swallow tail\000.jpg,yellow swallow tail
pipevine swallow\072.jpg,pipevine swallow
southern dogface\030.jpg,southern dogface
large marble\061.jpg,large marble
copper tail\090.jpg,copper tail
large marble\039.jpg,large marble
yellow swallow tail\035.jpg,yellow swallow tail
adonis\079.jpg,adonis
scarce swallow\125.jpg,scarce swallow
indra swallow\071.jpg,indra swallow
malachite\028.jpg,malachite
sootywing\115.jpg,sootywing
pipevine swallow\036.jpg,pipevine swallow
gold banded\043.jpg,gold banded
metalmark\052.jpg,metalmark
question mark\050.jpg,question mark
paper kite\026.jpg,paper kite
eastern coma\028.jpg,eastern coma
ulyses\015.jpg,ulyses
indra swallow\056.jpg,indra swallow
sixspot burnet\085.jpg,sixspot burnet
malachite\082.jpg,malachite
purple hairstreak\077.jpg,purple hairstreak
scarce swallow\018.jpg,scarce swallow
banded peacock\029.jpg,banded peacock
crimson patch\060.jpg,crimson patch
yellow swallow tail\073.jpg,yellow swallow tail
morning cloak\061.jpg,morning cloak
skipper\014.jpg,skipper
indra swallow\018.jpg,indra swallow
beckers white\034.jpg,beckers white
cabbage white\040.jpg,cabbage white
yellow swallow tail\066.jpg,yellow swallow tail
question mark\090.jpg,question mark
yellow swallow tail\064.jpg,yellow swallow tail
metalmark\000.jpg,metalmark
silver spot skipper\049.jpg,silver spot skipper
purple hairstreak\033.jpg,purple hairstreak
gold banded\038.jpg,gold banded
red admiral\072.jpg,red admiral
malachite\012.jpg,malachite
monarch\055.jpg,monarch
yellow swallow tail\036.jpg,yellow swallow tail
american snoot\085.jpg,american snoot
purple hairstreak\047.jpg,purple hairstreak
metalmark\015.jpg,metalmark
sootywing\026.jpg,sootywing
cabbage white\009.jpg,cabbage white
an 88\020.jpg,an 88
skipper\114.jpg,skipper
great eggfly\048.jpg,great eggfly
silver spot skipper\044.jpg,silver spot skipper
orange tip\046.jpg,orange tip
copper tail\094.jpg,copper tail
american snoot\002.jpg,american snoot
monarch\052.jpg,monarch
sixspot burnet\073.jpg,sixspot burnet
large marble\009.jpg,large marble
orchard swallow\068.jpg,orchard swallow
mangrove skipper\074.jpg,mangrove skipper
orange oakleaf\002.jpg,orange oakleaf
cabbage white\007.jpg,cabbage white
skipper\076.jpg,skipper
sixspot burnet\019.jpg,sixspot burnet
black hairstreak\041.jpg,black hairstreak
great eggfly\050.jpg,great eggfly
an 88\025.jpg,an 88
morning cloak\009.jpg,morning cloak
indra swallow\103.jpg,indra swallow
crimson patch\044.jpg,crimson patch
red spotted purple\031.jpg,red spotted purple
copper tail\027.jpg,copper tail
sixspot burnet\018.jpg,sixspot burnet
beckers white\010.jpg,beckers white
viceroy\043.jpg,viceroy
mangrove skipper\060.jpg,mangrove skipper
an 88\070.jpg,an 88
question mark\017.jpg,question mark
chestnut\072.jpg,chestnut
mangrove skipper\000.jpg,mangrove skipper
crimson patch\087.jpg,crimson patch
painted lady\045.jpg,painted lady
american snoot\025.jpg,american snoot
orange tip\015.jpg,orange tip
wood satyr\061.jpg,wood satyr
zebra long wing\079.jpg,zebra long wing
zebra long wing\054.jpg,zebra long wing
monarch\038.jpg,monarch
viceroy\063.jpg,viceroy
two barred flasher\015.jpg,two barred flasher
beckers white\063.jpg,beckers white
gold banded\062.jpg,gold banded
pipevine swallow\016.jpg,pipevine swallow
an 88\005.jpg,an 88
skipper\100.jpg,skipper
paper kite\079.jpg,paper kite
orange tip\056.jpg,orange tip
banded peacock\049.jpg,banded peacock
monarch\064.jpg,monarch
zebra long wing\031.jpg,zebra long wing
pipevine swallow\075.jpg,pipevine swallow
orange tip\053.jpg,orange tip
grey hairstreak\064.jpg,grey hairstreak
wood satyr\041.jpg,wood satyr
wood satyr\046.jpg,wood satyr
malachite\035.jpg,malachite
gold banded\028.jpg,gold banded
american snoot\074.jpg,american snoot
red admiral\065.jpg,red admiral
clouded sulphur\017.jpg,clouded sulphur
copper tail\053.jpg,copper tail
pipevine swallow\021.jpg,pipevine swallow
orchard swallow\027.jpg,orchard swallow
sixspot burnet\039.jpg,sixspot burnet
painted lady\065.jpg,painted lady
paper kite\080.jpg,paper kite
pipevine swallow\039.jpg,pipevine swallow
orchard swallow\051.jpg,orchard swallow
silver spot skipper\031.jpg,silver spot skipper
chestnut\033.jpg,chestnut
skipper\121.jpg,skipper
beckers white\077.jpg,beckers white
red spotted purple\058.jpg,red spotted purple
red spotted purple\064.jpg,red spotted purple
beckers white\093.jpg,beckers white
viceroy\049.jpg,viceroy
viceroy\076.jpg,viceroy
scarce swallow\094.jpg,scarce swallow
metalmark\021.jpg,metalmark
banded peacock\014.jpg,banded peacock
beckers white\084.jpg,beckers white
viceroy\015.jpg,viceroy
scarce swallow\017.jpg,scarce swallow
indra swallow\093.jpg,indra swallow
painted lady\048.jpg,painted lady
monarch\047.jpg,monarch
orchard swallow\043.jpg,orchard swallow
painted lady\084.jpg,painted lady
julia\089.jpg,julia
julia\038.jpg,julia
cabbage white\032.jpg,cabbage white
crimson patch\003.jpg,crimson patch
beckers white\031.jpg,beckers white
scarce swallow\083.jpg,scarce swallow
julia\004.jpg,julia
banded peacock\001.jpg,banded peacock
painted lady\077.jpg,painted lady
mangrove skipper\011.jpg,mangrove skipper
wood satyr\011.jpg,wood satyr
crimson patch\034.jpg,crimson patch
clodius parnassian\068.jpg,clodius parnassian
indra swallow\086.jpg,indra swallow
yellow swallow tail\009.jpg,yellow swallow tail
pine white\017.jpg,pine white
wood satyr\002.jpg,wood satyr
great eggfly\031.jpg,great eggfly
clodius parnassian\037.jpg,clodius parnassian
copper tail\060.jpg,copper tail
eastern coma\082.jpg,eastern coma
southern dogface\029.jpg,southern dogface
purple hairstreak\037.jpg,purple hairstreak
cabbage white\057.jpg,cabbage white
zebra long wing\026.jpg,zebra long wing
black hairstreak\002.jpg,black hairstreak
red spotted purple\057.jpg,red spotted purple
banded peacock\025.jpg,banded peacock
red spotted purple\045.jpg,red spotted purple
peacock\038.jpg,peacock
banded peacock\021.jpg,banded peacock
clouded sulphur\053.jpg,clouded sulphur
clodius parnassian\053.jpg,clodius parnassian
malachite\066.jpg,malachite
black hairstreak\059.jpg,black hairstreak
julia\060.jpg,julia
sixspot burnet\075.jpg,sixspot burnet
american snoot\084.jpg,american snoot
sixspot burnet\046.jpg,sixspot burnet
pipevine swallow\049.jpg,pipevine swallow
indra swallow\006.jpg,indra swallow
great eggfly\064.jpg,great eggfly
paper kite\071.jpg,paper kite
black hairstreak\054.jpg,black hairstreak
morning cloak\068.jpg,morning cloak
black hairstreak\014.jpg,black hairstreak
crimson patch\011.jpg,crimson patch
julia\085.jpg,julia
indra swallow\078.jpg,indra swallow
great eggfly\014.jpg,great eggfly
clodius parnassian\035.jpg,clodius parnassian
southern dogface\044.jpg,southern dogface
paper kite\013.jpg,paper kite
crimson patch\088.jpg,crimson patch
silver spot skipper\051.jpg,silver spot skipper
orange oakleaf\027.jpg,orange oakleaf
clodius parnassian\047.jpg,clodius parnassian
paper kite\002.jpg,paper kite
adonis\006.jpg,adonis
silver spot skipper\028.jpg,silver spot skipper
beckers white\020.jpg,beckers white
monarch\060.jpg,monarch
zebra long wing\043.jpg,zebra long wing
red spotted purple\003.jpg,red spotted purple
viceroy\053.jpg,viceroy
metalmark\067.jpg,metalmark
copper tail\042.jpg,copper tail
adonis\075.jpg,adonis
copper tail\056.jpg,copper tail
black hairstreak\010.jpg,black hairstreak
beckers white\043.jpg,beckers white
beckers white\013.jpg,beckers white
red spotted purple\075.jpg,red spotted purple
julia\020.jpg,julia
pine white\048.jpg,pine white
skipper\013.jpg,skipper
question mark\016.jpg,question mark
southern dogface\033.jpg,southern dogface
cabbage white\059.jpg,cabbage white
skipper\054.jpg,skipper
eastern coma\025.jpg,eastern coma
cabbage white\013.jpg,cabbage white
peacock\055.jpg,peacock
copper tail\005.jpg,copper tail
chestnut\001.jpg,chestnut
red admiral\012.jpg,red admiral
chestnut\020.jpg,chestnut
orchard swallow\000.jpg,orchard swallow
red admiral\067.jpg,red admiral
paper kite\068.jpg,paper kite
grey hairstreak\007.jpg,grey hairstreak
paper kite\078.jpg,paper kite
monarch\044.jpg,monarch
indra swallow\101.jpg,indra swallow
red spotted purple\015.jpg,red spotted purple
grey hairstreak\085.jpg,grey hairstreak
copper tail\083.jpg,copper tail
yellow swallow tail\015.jpg,yellow swallow tail
banded peacock\019.jpg,banded peacock
red admiral\034.jpg,red admiral
gold banded\084.jpg,gold banded
orange tip\026.jpg,orange tip
adonis\071.jpg,adonis
indra swallow\102.jpg,indra swallow
metalmark\071.jpg,metalmark
mangrove skipper\003.jpg,mangrove skipper
pine white\085.jpg,pine white
pipevine swallow\080.jpg,pipevine swallow
great eggfly\013.jpg,great eggfly
julia\095.jpg,julia
banded peacock\061.jpg,banded peacock
malachite\004.jpg,malachite
pipevine swallow\084.jpg,pipevine swallow
two barred flasher\030.jpg,two barred flasher
red admiral\076.jpg,red admiral
purple hairstreak\046.jpg,purple hairstreak
an 88\038.jpg,an 88
ulyses\003.jpg,ulyses
skipper\024.jpg,skipper
adonis\033.jpg,adonis
orange tip\032.jpg,orange tip
painted lady\014.jpg,painted lady
crecent\059.jpg,crecent
malachite\057.jpg,malachite
pine white\067.jpg,pine white
sootywing\061.jpg,sootywing
viceroy\001.jpg,viceroy
two barred flasher\064.jpg,two barred flasher
clodius parnassian\051.jpg,clodius parnassian
metalmark\028.jpg,metalmark
clouded sulphur\064.jpg,clouded sulphur
scarce swallow\052.jpg,scarce swallow
red admiral\039.jpg,red admiral
copper tail\062.jpg,copper tail
metalmark\016.jpg,metalmark
crimson patch\023.jpg,crimson patch
red spotted purple\023.jpg,red spotted purple
eastern coma\057.jpg,eastern coma
black hairstreak\045.jpg,black hairstreak
beckers white\104.jpg,beckers white
orange tip\006.jpg,orange tip
red admiral\019.jpg,red admiral
orange oakleaf\088.jpg,orange oakleaf
banded peacock\080.jpg,banded peacock
julia\078.jpg,julia
sootywing\098.jpg,sootywing
chestnut\016.jpg,chestnut
orange oakleaf\089.jpg,orange oakleaf
gold banded\075.jpg,gold banded
skipper\043.jpg,skipper
eastern coma\024.jpg,eastern coma
monarch\026.jpg,monarch
crimson patch\067.jpg,crimson patch
red admiral\050.jpg,red admiral
gold banded\047.jpg,gold banded
black hairstreak\064.jpg,black hairstreak
pine white\033.jpg,pine white
sootywing\015.jpg,sootywing
orange oakleaf\022.jpg,orange oakleaf
monarch\040.jpg,monarch
sootywing\083.jpg,sootywing
beckers white\089.jpg,beckers white
julia\000.jpg,julia
grey hairstreak\044.jpg,grey hairstreak
paper kite\081.jpg,paper kite
cabbage white\010.jpg,cabbage white
yellow swallow tail\072.jpg,yellow swallow tail
yellow swallow tail\090.jpg,yellow swallow tail
question mark\061.jpg,question mark
mangrove skipper\066.jpg,mangrove skipper
pine white\086.jpg,pine white
american snoot\089.jpg,american snoot
chestnut\013.jpg,chestnut
purple hairstreak\081.jpg,purple hairstreak
malachite\068.jpg,malachite
painted lady\037.jpg,painted lady
mangrove skipper\032.jpg,mangrove skipper
an 88\075.jpg,an 88
great eggfly\023.jpg,great eggfly
orchard swallow\065.jpg,orchard swallow
crimson patch\051.jpg,crimson patch
chestnut\048.jpg,chestnut
eastern coma\055.jpg,eastern coma
zebra long wing\006.jpg,zebra long wing
scarce swallow\118.jpg,scarce swallow
zebra long wing\042.jpg,zebra long wing
purple hairstreak\083.jpg,purple hairstreak
julia\030.jpg,julia
black hairstreak\060.jpg,black hairstreak
sixspot burnet\017.jpg,sixspot burnet
orange oakleaf\053.jpg,orange oakleaf
straited queen\037.jpg,straited queen
eastern coma\019.jpg,eastern coma
sixspot burnet\008.jpg,sixspot burnet
gold banded\077.jpg,gold banded
beckers white\068.jpg,beckers white
peacock\076.jpg,peacock
monarch\012.jpg,monarch
julia\057.jpg,julia
copper tail\064.jpg,copper tail
clodius parnassian\050.jpg,clodius parnassian
clodius parnassian\016.jpg,clodius parnassian
orange tip\068.jpg,orange tip
indra swallow\085.jpg,indra swallow
sootywing\004.jpg,sootywing
paper kite\044.jpg,paper kite
malachite\026.jpg,malachite
clouded sulphur\008.jpg,clouded sulphur
adonis\054.jpg,adonis
wood satyr\055.jpg,wood satyr
crimson patch\059.jpg,crimson patch
sixspot burnet\072.jpg,sixspot burnet
clodius parnassian\015.jpg,clodius parnassian
wood satyr\001.jpg,wood satyr
clouded sulphur\055.jpg,clouded sulphur
scarce swallow\043.jpg,scarce swallow
wood satyr\051.jpg,wood satyr
julia\031.jpg,julia
pine white\072.jpg,pine white
black hairstreak\073.jpg,black hairstreak
orange oakleaf\013.jpg,orange oakleaf
skipper\092.jpg,skipper
chestnut\043.jpg,chestnut
pipevine swallow\053.jpg,pipevine swallow
cabbage white\028.jpg,cabbage white
beckers white\076.jpg,beckers white
clouded sulphur\001.jpg,clouded sulphur
red spotted purple\010.jpg,red spotted purple
purple hairstreak\043.jpg,purple hairstreak
orange oakleaf\039.jpg,orange oakleaf
metalmark\084.jpg,metalmark
chestnut\041.jpg,chestnut
sootywing\052.jpg,sootywing
yellow swallow tail\017.jpg,yellow swallow tail
monarch\020.jpg,monarch
red admiral\022.jpg,red admiral
metalmark\054.jpg,metalmark
morning cloak\064.jpg,morning cloak
an 88\013.jpg,an 88
gold banded\045.jpg,gold banded
eastern coma\009.jpg,eastern coma
question mark\096.jpg,question mark
metalmark\092.jpg,metalmark
metalmark\080.jpg,metalmark
painted lady\067.jpg,painted lady
zebra long wing\071.jpg,zebra long wing
pine white\054.jpg,pine white
eastern coma\043.jpg,eastern coma
cabbage white\075.jpg,cabbage white
clodius parnassian\029.jpg,clodius parnassian
julia\023.jpg,julia
crecent\015.jpg,crecent
orchard swallow\035.jpg,orchard swallow
mangrove skipper\047.jpg,mangrove skipper
clouded sulphur\041.jpg,clouded sulphur
black hairstreak\066.jpg,black hairstreak
red admiral\017.jpg,red admiral
malachite\048.jpg,malachite
copper tail\095.jpg,copper tail
gold banded\078.jpg,gold banded
two barred flasher\013.jpg,two barred flasher
adonis\004.jpg,adonis
black hairstreak\003.jpg,black hairstreak
straited queen\016.jpg,straited queen
gold banded\069.jpg,gold banded
red admiral\078.jpg,red admiral
straited queen\040.jpg,straited queen
julia\008.jpg,julia
great eggfly\081.jpg,great eggfly
yellow swallow tail\045.jpg,yellow swallow tail
silver spot skipper\072.jpg,silver spot skipper
adonis\027.jpg,adonis
an 88\036.jpg,an 88
beckers white\079.jpg,beckers white
scarce swallow\055.jpg,scarce swallow
an 88\074.jpg,an 88
julia\010.jpg,julia
metalmark\053.jpg,metalmark
morning cloak\039.jpg,morning cloak
wood satyr\013.jpg,wood satyr
orange tip\020.jpg,orange tip
large marble\022.jpg,large marble
morning cloak\012.jpg,morning cloak
orchard swallow\063.jpg,orchard swallow
yellow swallow tail\084.jpg,yellow swallow tail
julia\052.jpg,julia
chestnut\026.jpg,chestnut
scarce swallow\015.jpg,scarce swallow
paper kite\064.jpg,paper kite
wood satyr\024.jpg,wood satyr
sixspot burnet\074.jpg,sixspot burnet
metalmark\057.jpg,metalmark
pine white\040.jpg,pine white
clouded sulphur\057.jpg,clouded sulphur
mangrove skipper\035.jpg,mangrove skipper
grey hairstreak\087.jpg,grey hairstreak
orange tip\076.jpg,orange tip
zebra long wing\076.jpg,zebra long wing
question mark\085.jpg,question mark
orange oakleaf\046.jpg,orange oakleaf
pipevine swallow\065.jpg,pipevine swallow
sootywing\018.jpg,sootywing
grey hairstreak\026.jpg,grey hairstreak
an 88\059.jpg,an 88
chestnut\056.jpg,chestnut
metalmark\066.jpg,metalmark
julia\073.jpg,julia
straited queen\038.jpg,straited queen
grey hairstreak\001.jpg,grey hairstreak
sootywing\081.jpg,sootywing
pipevine swallow\001.jpg,pipevine swallow
crecent\033.jpg,crecent
clodius parnassian\008.jpg,clodius parnassian
scarce swallow\100.jpg,scarce swallow
question mark\064.jpg,question mark
copper tail\050.jpg,copper tail
adonis\065.jpg,adonis
sootywing\050.jpg,sootywing
adonis\082.jpg,adonis
indra swallow\001.jpg,indra swallow
red spotted purple\071.jpg,red spotted purple
great eggfly\090.jpg,great eggfly
morning cloak\051.jpg,morning cloak
metalmark\091.jpg,metalmark
banded peacock\013.jpg,banded peacock
red admiral\002.jpg,red admiral
orange oakleaf\082.jpg,orange oakleaf
eastern coma\034.jpg,eastern coma
red spotted purple\018.jpg,red spotted purple
silver spot skipper\035.jpg,silver spot skipper
beckers white\070.jpg,beckers white
straited queen\036.jpg,straited queen
sixspot burnet\032.jpg,sixspot burnet
adonis\045.jpg,adonis
an 88\024.jpg,an 88
american snoot\038.jpg,american snoot
grey hairstreak\053.jpg,grey hairstreak
skipper\096.jpg,skipper
yellow swallow tail\075.jpg,yellow swallow tail
banded peacock\022.jpg,banded peacock
red spotted purple\055.jpg,red spotted purple
wood satyr\030.jpg,wood satyr
mangrove skipper\004.jpg,mangrove skipper
yellow swallow tail\007.jpg,yellow swallow tail
paper kite\077.jpg,paper kite
zebra long wing\075.jpg,zebra long wing
great eggfly\067.jpg,great eggfly
cabbage white\020.jpg,cabbage white
pine white\081.jpg,pine white
metalmark\041.jpg,metalmark
question mark\038.jpg,question mark
painted lady\019.jpg,painted lady
paper kite\025.jpg,paper kite
scarce swallow\069.jpg,scarce swallow
wood satyr\032.jpg,wood satyr
scarce swallow\031.jpg,scarce swallow
wood satyr\019.jpg,wood satyr
great eggfly\060.jpg,great eggfly
morning cloak\076.jpg,morning cloak
question mark\078.jpg,question mark
beckers white\021.jpg,beckers white
peacock\014.jpg,peacock
adonis\050.jpg,adonis
silver spot skipper\010.jpg,silver spot skipper
adonis\061.jpg,adonis
gold banded\021.jpg,gold banded
southern dogface\037.jpg,southern dogface
orange oakleaf\075.jpg,orange oakleaf
crecent\029.jpg,crecent
malachite\069.jpg,malachite
wood satyr\027.jpg,wood satyr
clouded sulphur\013.jpg,clouded sulphur
beckers white\087.jpg,beckers white
pipevine swallow\011.jpg,pipevine swallow
copper tail\085.jpg,copper tail
grey hairstreak\022.jpg,grey hairstreak
mangrove skipper\080.jpg,mangrove skipper
straited queen\045.jpg,straited queen
beckers white\100.jpg,beckers white
beckers white\014.jpg,beckers white
sootywing\028.jpg,sootywing
cabbage white\002.jpg,cabbage white
yellow swallow tail\006.jpg,yellow swallow tail
two barred flasher\048.jpg,two barred flasher
peacock\023.jpg,peacock
wood satyr\048.jpg,wood satyr
copper tail\102.jpg,copper tail
orange oakleaf\067.jpg,orange oakleaf
grey hairstreak\049.jpg,grey hairstreak
chestnut\029.jpg,chestnut
banded peacock\047.jpg,banded peacock
crimson patch\008.jpg,crimson patch
mangrove skipper\051.jpg,mangrove skipper
grey hairstreak\072.jpg,grey hairstreak
scarce swallow\095.jpg,scarce swallow
great eggfly\046.jpg,great eggfly
eastern coma\013.jpg,eastern coma
two barred flasher\033.jpg,two barred flasher
red spotted purple\056.jpg,red spotted purple
beckers white\071.jpg,beckers white
gold banded\057.jpg,gold banded
zebra long wing\063.jpg,zebra long wing
scarce swallow\093.jpg,scarce swallow
scarce swallow\062.jpg,scarce swallow
large marble\043.jpg,large marble
orange tip\049.jpg,orange tip
american snoot\056.jpg,american snoot
purple hairstreak\079.jpg,purple hairstreak
viceroy\048.jpg,viceroy
scarce swallow\088.jpg,scarce swallow
mangrove skipper\019.jpg,mangrove skipper
monarch\049.jpg,monarch
pipevine swallow\062.jpg,pipevine swallow
skipper\073.jpg,skipper
pipevine swallow\035.jpg,pipevine swallow
silver spot skipper\071.jpg,silver spot skipper
wood satyr\049.jpg,wood satyr
scarce swallow\077.jpg,scarce swallow
yellow swallow tail\069.jpg,yellow swallow tail
skipper\109.jpg,skipper
painted lady\073.jpg,painted lady
skipper\086.jpg,skipper
silver spot skipper\048.jpg,silver spot skipper
great eggfly\062.jpg,great eggfly
beckers white\040.jpg,beckers white
orchard swallow\025.jpg,orchard swallow
scarce swallow\014.jpg,scarce swallow
painted lady\000.jpg,painted lady
skipper\072.jpg,skipper
indra swallow\027.jpg,indra swallow
large marble\057.jpg,large marble
american snoot\044.jpg,american snoot
indra swallow\088.jpg,indra swallow
pine white\049.jpg,pine white
eastern coma\078.jpg,eastern coma
scarce swallow\124.jpg,scarce swallow
scarce swallow\085.jpg,scarce swallow
southern dogface\014.jpg,southern dogface
zebra long wing\003.jpg,zebra long wing
southern dogface\010.jpg,southern dogface
clouded sulphur\052.jpg,clouded sulphur
american snoot\047.jpg,american snoot
mangrove skipper\041.jpg,mangrove skipper
metalmark\001.jpg,metalmark
morning cloak\060.jpg,morning cloak
question mark\012.jpg,question mark
zebra long wing\081.jpg,zebra long wing
crimson patch\073.jpg,crimson patch
southern dogface\000.jpg,southern dogface
an 88\066.jpg,an 88
viceroy\055.jpg,viceroy
mangrove skipper\070.jpg,mangrove skipper
chestnut\032.jpg,chestnut
orchard swallow\052.jpg,orchard swallow
peacock\046.jpg,peacock
purple hairstreak\093.jpg,purple hairstreak
eastern coma\073.jpg,eastern coma
skipper\011.jpg,skipper
monarch\017.jpg,monarch
great eggfly\078.jpg,great eggfly
orange oakleaf\018.jpg,orange oakleaf
indra swallow\037.jpg,indra swallow
silver spot skipper\053.jpg,silver spot skipper
eastern coma\070.jpg,eastern coma
julia\068.jpg,julia
eastern coma\051.jpg,eastern coma
paper kite\038.jpg,paper kite
cabbage white\051.jpg,cabbage white
copper tail\089.jpg,copper tail
paper kite\017.jpg,paper kite
large marble\059.jpg,large marble
large marble\044.jpg,large marble
orchard swallow\020.jpg,orchard swallow
pine white\010.jpg,pine white
purple hairstreak\034.jpg,purple hairstreak
julia\050.jpg,julia
red admiral\049.jpg,red admiral
orange tip\028.jpg,orange tip
great eggfly\087.jpg,great eggfly
zebra long wing\007.jpg,zebra long wing
grey hairstreak\003.jpg,grey hairstreak
wood satyr\073.jpg,wood satyr
question mark\077.jpg,question mark
black hairstreak\037.jpg,black hairstreak
chestnut\009.jpg,chestnut
copper tail\004.jpg,copper tail
an 88\035.jpg,an 88
metalmark\074.jpg,metalmark
orange oakleaf\080.jpg,orange oakleaf
clouded sulphur\059.jpg,clouded sulphur
cabbage white\025.jpg,cabbage white
peacock\004.jpg,peacock
orchard swallow\046.jpg,orchard swallow
gold banded\085.jpg,gold banded
red spotted purple\041.jpg,red spotted purple
malachite\040.jpg,malachite
southern dogface\078.jpg,southern dogface
eastern coma\041.jpg,eastern coma
sootywing\107.jpg,sootywing
mangrove skipper\006.jpg,mangrove skipper
julia\051.jpg,julia
sixspot burnet\005.jpg,sixspot burnet
american snoot\023.jpg,american snoot
scarce swallow\111.jpg,scarce swallow
gold banded\037.jpg,gold banded
morning cloak\043.jpg,morning cloak
sootywing\093.jpg,sootywing
scarce swallow\098.jpg,scarce swallow
pipevine swallow\042.jpg,pipevine swallow
banded peacock\036.jpg,banded peacock
yellow swallow tail\029.jpg,yellow swallow tail
zebra long wing\065.jpg,zebra long wing
eastern coma\074.jpg,eastern coma
an 88\069.jpg,an 88
pine white\063.jpg,pine white
crimson patch\030.jpg,crimson patch
paper kite\073.jpg,paper kite
large marble\006.jpg,large marble
banded peacock\027.jpg,banded peacock
malachite\053.jpg,malachite
red spotted purple\038.jpg,red spotted purple
orange tip\054.jpg,orange tip
red admiral\068.jpg,red admiral
peacock\086.jpg,peacock
orchard swallow\049.jpg,orchard swallow
purple hairstreak\051.jpg,purple hairstreak
eastern coma\016.jpg,eastern coma
chestnut\074.jpg,chestnut
gold banded\081.jpg,gold banded
zebra long wing\067.jpg,zebra long wing
straited queen\073.jpg,straited queen
eastern coma\050.jpg,eastern coma
southern dogface\028.jpg,southern dogface
skipper\035.jpg,skipper
eastern coma\002.jpg,eastern coma
black hairstreak\070.jpg,black hairstreak
sootywing\021.jpg,sootywing
indra swallow\025.jpg,indra swallow
skipper\110.jpg,skipper
purple hairstreak\073.jpg,purple hairstreak
an 88\022.jpg,an 88
cabbage white\056.jpg,cabbage white
mangrove skipper\075.jpg,mangrove skipper
scarce swallow\110.jpg,scarce swallow
cabbage white\026.jpg,cabbage white
american snoot\058.jpg,american snoot
pipevine swallow\074.jpg,pipevine swallow
mangrove skipper\061.jpg,mangrove skipper
cabbage white\047.jpg,cabbage white
grey hairstreak\023.jpg,grey hairstreak
crimson patch\055.jpg,crimson patch
morning cloak\059.jpg,morning cloak
clouded sulphur\036.jpg,clouded sulphur
